contract_award_unique_key,award_id_piid,total_obligated_amount,current_total_value_of_award,potential_total_value_of_award,award_base_action_date,award_base_action_year,current_end_date,awarding_agency_name,awarding_sub_agency_name,funding_agency_name,funding_sub_agency_name,recipient_name,recipient_parent_name,recipient_city_name,recipient_state_code,recipient_zipcode,primary_place_of_performance_city_name,primary_place_of_performance_state_code,award_type,type_of_contract_pricing,product_or_service_code_description,naics_code,naics_description,number_of_offers_received,organizational_type,clean_recipient_name,clean_recipient_parent_name
CONT_AWD_0001_9700_HDTRA107D0007_9700,1,3301745.73,0,0,2007-05-23,2007,2011-04-17,Department of Defense,Defense Threat Reduction Agency,Department of Defense,Defense Threat Reduction Agency,BLACK & VEATCH SPECIAL PROJECTS CORP.,BLACK & VEATCH SPECIAL PROJECTS CORP.,SHAWNEE MISSION,KS,66211,Unknown,Unknown,DELIVERY ORDER,COST PLUS AWARD FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,BLACK VEATCH SPECIAL PROJECTS,BLACK VEATCH SPECIAL PROJECTS
CONT_IDV_DTFH6107D00032_6925,DTFH6107D00032,0,0,0,2007-09-21,2007,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"DYE MANAGEMENT GROUP, INC.","DYE MANAGEMENT GROUP, INC.",BELLEVUE,WA,98004,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,12,Unknown,DYE MANAGEMENT GROUP,DYE MANAGEMENT GROUP
CONT_AWD_M6785407C8003_9700_-NONE-_-NONE-,M6785407C8003,17420400.86,17783010,17783010,2007-03-23,2007,2012-03-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,ENGILITY LLC,ENGILITY CORPORATION,MARLTON,NJ,80533,NATIONAL PARK,NJ,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,ENGILITY,ENGILITY
CONT_AWD_NNC07CB36C_8000_-NONE-_-NONE-,NNC07CB36C,1892477.65,2088448.87,2088448.87,2007-02-01,2007,2013-05-01,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,"ENSIGN-BICKFORD INDUSTRIES, INC.",SIMSBURY,CT,60702,SIMSBURY,CT,DEFINITIVE CONTRACT,COST PLUS INCENTIVE FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT),336419,OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,999,Unknown,ENSIGNBICKFORD AEROSPACE DEFENSE,ENSIGNBICKFORD INDUSTRIES
CONT_IDV_DTFR5307D00003_6930,DTFR5307D00003,0,0,8468345,2007-03-01,2007,,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,"FOSTER-MILLER, INC.",QINETIQ GROUP PLC,WALTHAM,MA,24511,Unknown,Unknown,Unknown,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,11,Unknown,FOSTERMILLER,QINETIQ GROUP PLC
CONT_AWD_006_6930_DTFR5307D00003_6930,6,1132457,0,0,2007-08-06,2007,2012-06-15,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,"FOSTER-MILLER, INC.",QINETIQ US HOLDINGS  INC.,WALTHAM,MA,24511,WALTHAM,MA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FOSTERMILLER,QINETIQ US HOLDINGS
CONT_AWD_001_6930_DTFR5307D00003_6930,1,100277,0,0,2007-05-21,2007,2008-04-30,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,"FOSTER-MILLER, INC.",QINETIQ US HOLDINGS  INC.,WALTHAM,MA,24511,WASHINGTON,DC,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FOSTERMILLER,QINETIQ US HOLDINGS
CONT_AWD_004_6930_DTFR5307D00003_6930,4,400000,0,0,2007-07-17,2007,2009-09-30,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,"FOSTER-MILLER, INC.",QINETIQ US HOLDINGS  INC.,WALTHAM,MA,24511,WASHINGTON,DC,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FOSTERMILLER,QINETIQ US HOLDINGS
CONT_AWD_007_6930_DTFR5307D00004_6930,7,714559.81,0,0,2007-08-02,2007,2012-03-01,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,FULCRUM CORPORATION,FULCRUM CORPORATION,FAIRFAX,VA,22031,FAIRFAX,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FULCRUM,FULCRUM
CONT_AWD_001_6930_DTFR5307D00004_6930,1,299612.96,0,0,2007-07-18,2007,2011-12-31,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,FULCRUM CORPORATION,FULCRUM CORPORATION,FAIRFAX,VA,22031,FAIRFAX,VA,DELIVERY ORDER,OTHER (APPLIES TO AWARDS WHERE NONE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FULCRUM,FULCRUM
CONT_AWD_0008_9700_W58RGZ06D0010_9700,8,16761616.31,16761616.31,16761616.31,2007-02-27,2007,2015-10-31,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,GENERAL ELECTRIC COMPANY,GENERAL ELECTRIC COMPANY,LYNN,MA,1905,LYNN,MA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,GENERAL ELECTRIC,GENERAL ELECTRIC
CONT_IDV_DTFH6107D00031_6925,DTFH6107D00031,0,0,0,2007-09-24,2007,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"GORDON PROCTOR & ASSOCIATES, INC.","GORDON PROCTOR & ASSOCIATES, INC.",DUBLIN,OH,43016,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,12,Unknown,GORDON PROCTOR ASSOCIATES,GORDON PROCTOR ASSOCIATES
CONT_IDV_DTFH6107D00028_6925,DTFH6107D00028,38615.46,0,10137944.46,2007-09-26,2007,,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",SAN DIEGO,CA,92121,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,12,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_FA255007C8003_9700_-NONE-_-NONE-,FA255007C8003,635744,0,0,2007-07-05,2007,2008-07-31,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Air Force,"LEIDOS, INC.","LEIDOS HOLDINGS, INC.",SAN DIEGO,CA,92121,RESTON,VA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,LEIDOS,LEIDOS HOLDINGS
CONT_AWD_0563_9700_F4262001D0058_9700,563,76890.47,76890.47,76890.47,2007-04-12,2007,2013-04-17,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,FORT WORTH,TX,76108,FORT WORTH,TX,DELIVERY ORDER,TIME AND MATERIALS,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LOCKHEED MARTIN,LOCKHEED MARTIN
CONT_AWD_0556_9700_F4262001D0058_9700,556,5838.43,99338.43,99338.43,2007-03-06,2007,2012-04-23,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,LOCKHEED MARTIN CORPORATION,LOCKHEED MARTIN CORP,FORT WORTH,TX,76108,FORT WORTH,TX,DELIVERY ORDER,TIME AND MATERIALS,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,LOCKHEED MARTIN,LOCKHEED MARTIN
CONT_AWD_W911QX07C0093_9700_-NONE-_-NONE-,W911QX07C0093,3563094,3563094,3563094,2007-09-17,2007,2013-09-30,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,MATERIALS MODIFICATIONS INC,MATERIALS MODIFICATIONS INC,FAIRFAX,VA,22031,FAIRFAX,VA,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,MATERIALS MODIFICATIONS,MATERIALS MODIFICATIONS
CONT_AWD_0026_9700_N0017803D2019_9700,26,65990.16,199432,199432,2007-01-31,2007,2008-12-31,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN CORPORATION,RESTON,VA,20191,DAHLGREN,VA,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN
CONT_AWD_NNM07AA75C_8000_-NONE-_-NONE-,NNM07AA75C,4393359394,4427037319,4427037319,2007-08-10,2007,2026-06-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NORTHROP GRUMMAN SYSTEMS CORPORATION,NORTHROP GRUMMAN SYSTEMS CORPORATION,CORINNE,UT,84307,CORINNE,UT,DEFINITIVE CONTRACT,COST PLUS AWARD FEE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",336415,GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING,1,CORPORATE NOT TAX EXEMPT,NORTHROP GRUMMAN SYSTEMS,NORTHROP GRUMMAN SYSTEMS
CONT_AWD_HSBP1007P17026_7014_-NONE-_-NONE-,HSBP1007P17026,99923.8,0,0,2007-07-24,2007,2009-06-30,Department of Homeland Security,U.S. Customs and Border Protection,Department of Homeland Security,U.S. Customs and Border Protection,"PLATFORM SYSTEMS, INCORPORATED","PLATFORM SYSTEMS, INCORPORATED",LEXINGTON PARK,MD,20653,LEXINGTON PARK,MD,PO,FIRM FIXED PRICE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,PLATFORM SYSTEMS INCORPORATED,PLATFORM SYSTEMS INCORPORATED
CONT_AWD_M6785407C8170_9700_-NONE-_-NONE-,M6785407C8170,2022277.4,2022277.4,2063601.4,2007-09-25,2007,2008-09-30,Department of Defense,Department of the Navy,Department of Defense,Department of the Navy,SHEE ATIKA TECHNOLOGIES LIMITED LIABILITY COMPANY,"SHEE ATIKA, INCORPORATED",KIRKLAND,WA,98033,KIRKLAND,WA,DEFINITIVE CONTRACT,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,SHEE ATIKA TECHNOLOGIES LIMITED LIABILITY,SHEE ATIKA INCORPORATED
CONT_AWD_NNM07AB03C_8000_-NONE-_-NONE-,NNM07AB03C,9768925771,10166812597,10166812597,2007-08-28,2007,2026-12-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,THE BOEING COMPANY,THE BOEING COMPANY,HUNTSVILLE,AL,35824,HUNTSVILLE,AL,DEFINITIVE CONTRACT,COST PLUS AWARD FEE,"SPACE R&D SERVICES; SPACE FLIGHT, RESEARCH AND SUPPORTING ACTIVITIES; BASIC RESEARCH",336414,GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING,1,Unknown,THE BOEING,THE BOEING
CONT_AWD_1017_9700_N0001906D0007_9700,1017,8254523.49,0,0,2007-01-04,2007,2010-09-24,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Navy,THE BOEING COMPANY,THE BOEING COMPANY,SAINT LOUIS,MO,63166,SAINT LOUIS,MO,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,THE BOEING,THE BOEING
CONT_AWD_DTFH6107D00030T08002_6925_DTFH6107D00030_6925,DTFH6107D00030T08002,26885.3,0,0,2008-08-27,2008,2008-12-31,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"AMEC E&I, INC",AMEC PLC,ALPHARETTA,GA,30004,BELTSVILLE,MD,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,AMEC EI,AMEC PLC
CONT_AWD_DTFH6107D00030T08001_6925_DTFH6107D00030_6925,DTFH6107D00030T08001,96655,0,0,2008-08-25,2008,2009-08-31,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"AMEC E&I, INC",AMEC PLC,ALPHARETTA,GA,30004,BELTSVILLE,MD,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,AMEC EI,AMEC PLC
CONT_AWD_HSFEHQ08J0010_7022_HSFEHQ08D0726_7022,HSFEHQ08J0010,299997,299997,299997,2008-05-30,2008,2010-09-30,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL,REDWOOD CITY,CA,94065,REDWOOD CITY,CA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE TAX EXEMPT,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL
CONT_AWD_HSFEHQ08J0009_7022_HSFEHQ08D0726_7022,HSFEHQ08J0009,406957,0,0,2008-05-30,2008,2011-12-31,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL,REDWOOD CITY,CA,94065,REDWOOD CITY,CA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL
CONT_AWD_HSFEHQ08J0008_7022_HSFEHQ08D0726_7022,HSFEHQ08J0008,430727,0,0,2008-05-30,2008,2010-09-30,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL,REDWOOD CITY,CA,94065,REDWOOD CITY,CA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL
CONT_AWD_HSFEHQ08J0007_7022_HSFEHQ08D0726_7022,HSFEHQ08J0007,279952,279952,279952,2008-05-30,2008,2009-05-31,Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security,Federal Emergency Management Agency,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL,REDWOOD CITY,CA,94065,REDWOOD CITY,CA,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE TAX EXEMPT,APPLIED TECHNOLOGY COUNCIL,APPLIED TECHNOLOGY COUNCIL
CONT_AWD_0307_9700_F0960303D0001_9700,307,17394420.22,218926.22,218926.22,2008-07-25,2008,2013-12-31,Department of Defense,Department of the Air Force,Department of Defense,Department of the Air Force,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,BAE SYSTEMS PLC,NASHUA,NH,30606,TOTOWA,NJ,DELIVERY ORDER,COST NO FEE,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",1,CORPORATE NOT TAX EXEMPT,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION,BAE SYSTEMS PLC
CONT_AWD_NNC08CA96C_8000_-NONE-_-NONE-,NNC08CA96C,1397082.39,1488018,1488018,2008-09-29,2008,2018-12-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,BAE SYSTEMS SPACE & MISSION SYSTEMS INC.,BALL CORP,BOULDER,CO,80301,BOULDER,CO,DEFINITIVE CONTRACT,COST PLUS FIXED FEE,R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",1,CORPORATE NOT TAX EXEMPT,BAE SYSTEMS SPACE MISSION SYSTEMS,BALL
CONT_AWD_DTFH6107D00029T08003_6925_DTFH6107D00029_6925,DTFH6107D00029T08003,187319.76,0,0,2008-08-29,2008,2013-10-31,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,43201,COLUMBUS,OH,DELIVERY ORDER,OTHER (APPLIES TO AWARDS WHERE NONE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE
CONT_AWD_DTFH6107D00029T08002_6925_DTFH6107D00029_6925,DTFH6107D00029T08002,70088.7,0,0,2008-08-12,2008,2010-06-30,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,43201,COLUMBUS,OH,DELIVERY ORDER,COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE
CONT_AWD_DTFH6107D00029T08001_6925_DTFH6107D00029_6925,DTFH6107D00029T08001,504588.57,0,0,2008-06-24,2008,2011-09-30,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,43201,COLUMBUS,OH,DELIVERY ORDER,COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,Unknown,BATTELLE MEMORIAL INSTITUTE,BATTELLE MEMORIAL INSTITUTE
CONT_AWD_DEAT2608NT06659_8900_DEAM3602NT41458_8900,DEAT2608NT06659,12558889,12558889,12558889,2008-07-31,2008,2025-01-31,Department of Energy,Department of Energy,Department of Energy,Department of Energy,CONSTELLATION NEWENERGY INC,EXELON CORPORATION,BALTIMORE,MD,21231,BALTIMORE,MD,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,CORPORATE NOT TAX EXEMPT,CONSTELLATION NEWENERGY,EXELON
CONT_AWD_DTFH6107D00032T08001_6925_DTFH6107D00032_6925,DTFH6107D00032T08001,55870,0,0,2008-09-02,2008,2009-10-30,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"DYE MANAGEMENT GROUP, INC.","DYE MANAGEMENT GROUP, INC.",BELLEVUE,WA,98004,BELLEVUE,WA,DELIVERY ORDER,COMBINATION (APPLIES TO AWARDS WHERE TWO OR MORE OF THE ABOVE APPLY),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,DYE MANAGEMENT GROUP,DYE MANAGEMENT GROUP
CONT_AWD_W52H0908C0003_9700_-NONE-_-NONE-,W52H0908C0003,5990632.92,0,0,2007-10-03,2008,2016-05-06,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"ELBITAMERICA, INC.",ELBIT SYSTEMS LTD,FORT WORTH,TX,76179,FORT WORTH,TX,DCA,FIRM FIXED PRICE,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),334511,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",1,Unknown,ELBITAMERICA,ELBIT SYSTEMS
CONT_AWD_0005_9700_W15QKN08D0420_9700,5,174414.86,174414.86,174414.86,2008-04-09,2008,2024-01-25,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"ELMHURST RESEARCH, INC.","ELMHURST RESEARCH, INC.",ALBANY,NY,12204,COLCHESTER,VT,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,CORPORATE NOT TAX EXEMPT,ELMHURST RESEARCH,ELMHURST RESEARCH
CONT_AWD_0002_9700_W15QKN08D0420_9700,2,74675.47,74675.47,74675.47,2008-04-09,2008,2009-09-30,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"ELMHURST RESEARCH, INC.","ELMHURST RESEARCH, INC.",ALBANY,NY,12204,ALBANY,NY,DELIVERY ORDER,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,CORPORATE NOT TAX EXEMPT,ELMHURST RESEARCH,ELMHURST RESEARCH
CONT_AWD_0017_9700_W15QKN08D0420_9700,17,239358.03,0,0,2008-06-30,2008,2009-09-30,Department of Defense,Department of the Army,Department of Defense,Department of the Army,"ELMHURST RESEARCH, INC.","ELMHURST RESEARCH, INC.",ALBANY,NY,12204,ALBANY,NY,DO,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,4,Unknown,ELMHURST RESEARCH,ELMHURST RESEARCH
CONT_AWD_010_6930_DTFR5307D00003_6930,10,265910.03,533195.03,533195.03,2008-09-11,2008,2010-06-30,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,"FOSTER-MILLER, INC.",QINETIQ GROUP PLC,WALTHAM,MA,24511,WASHINGTON,DC,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FOSTERMILLER,QINETIQ GROUP PLC
CONT_AWD_008_6930_DTFR5307D00004_6930,8,1648851.85,0,0,2008-06-13,2008,2013-03-26,Department of Transportation,Federal Railroad Administration,Department of Transportation,Federal Railroad Administration,FULCRUM CORPORATION,FULCRUM CORPORATION,FAIRFAX,VA,22031,WASHINGTON,DC,DELIVERY ORDER,COST PLUS FIXED FEE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,1,Unknown,FULCRUM,FULCRUM
CONT_AWD_DTFH6107D00031T08002_6925_DTFH6107D00031_6925,DTFH6107D00031T08002,303140.55,0,0,2008-08-28,2008,2012-06-30,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,"GORDON PROCTOR & ASSOCIATES, INC.","GORDON PROCTOR & ASSOCIATES, INC.",DUBLIN,OH,43016,DUBLIN,OH,DO,FIRM FIXED PRICE,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,5,Unknown,GORDON PROCTOR ASSOCIATES,GORDON PROCTOR ASSOCIATES
CONT_AWD_DTFH6108C00032_6925_-NONE-_-NONE-,DTFH6108C00032,94290.04,0,0,2008-09-04,2008,2011-02-28,Department of Transportation,Federal Highway Administration,Department of Transportation,Federal Highway Administration,JACKSON STATE UNIVERSITY,JACKSON STATE UNIVERSITY,JACKSON,MS,39217,WASHINGTON,DC,DEFINITIVE CONTRACT,COST SHARING,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,35,Unknown,JACKSON STATE UNIVERSITY,JACKSON STATE UNIVERSITY
CONT_AWD_DTFAWA08C00081_6920_-NONE-_-NONE-,DTFAWA08C00081,5448018.9,5448018.9,5448018.9,2008-05-21,2008,2013-05-20,Department of Transportation,Federal Aviation Administration,Department of Transportation,Federal Aviation Administration,JMA SOLUTIONS LLC,JMA SOLUTIONS LLC,WASHINGTON,DC,20024,WASHINGTON,DC,DEFINITIVE CONTRACT,TIME AND MATERIALS,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,3,SOLE PROPRIETORSHIP,JMA SOLUTIONS,JMA SOLUTIONS
CONT_IDV_W15QKN08D0001_9700,W15QKN08D0001,0,0,0,2008-02-28,2008,,Department of Defense,Defense Contract Management Agency,Department of Defense,Department of the Army,"KEYLOGIC SYSTEMS, LLC","KEYLOGIC SYSTEMS, LLC",MORGANTOWN,WV,26505,Unknown,Unknown,Unknown,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),541330,ENGINEERING SERVICES,2,CORPORATE NOT TAX EXEMPT,KEYLOGIC SYSTEMS,KEYLOGIC SYSTEMS
