company_name,year_founded,industries,hq,zipcode,description,operating_status,cb_rank,funding_status,funding_date,funding_type,acquired_by,acquired_price,ipo_status,ipo_valuation,ipo_date,growth_confidence,growth_category,estimated_revenue,num_employees,num_funding_rounds,total_funding,top_investors,num_investors
Morpheus Space,2018,"Aerospace, Artificial Intelligence (AI), Hardware, SaaS, Satellite Communication, Simulation, Software","El Segundo, California, United States",90245,"Morpheus Space sells satellite mobility solutions through electric propulsion systems, an autopilot, and mission analysis and design tools.",Active,17554,Early Stage Venture,2022-09-14,Series A,,,Private,,,,Growing,$10M to $50M,11-50,6,29590000,"Techstars, Starburst Accelerator, NASA, Jackson Moses, Airbus Ventures",11
ErisX,2018,"Blockchain, Financial Services, FinTech, Information Technology, Insurance, Software","Chicago, Illinois, United States",60601,ErisX specializes in digital asset space that offers both spot and futures contracts on one platform.,Closed,46111,M&A,2022-11-29,Venture - Series Unknown,Cboe Global Markets,,Private,,,,,$1M to $10M,11-50,5,47500000,"Robinhood, ConsenSys, Fidelity, Digital Currency Group, Bitmain",35
Shuttle,2018,"Aerospace, Space Travel","San Francisco, California, United States",94103,Shuttle is an outer space travel company that offers a commercial spaceflight booking platform.,Active,124914,Seed,2024-02-14,Seed,,,Private,,,,,Less than $1M,10-Jan,3,250000,"Newchip Accelerator, Notation Capital, Alchemist Accelerator",3
Cloud Compliance,2018,"Cloud Data Services, Compliance, CRM, Information Technology, SaaS, Small and Medium Businesses, Software","Chicago, Illinois, United States",60601,Operationalize privacy compliance and data security on Salesforce with the most comprehensive suite of products.,Active,398803,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Space Initiatives,2018,Aerospace,"Palm Bay, Florida, United States",32905,Space Initiatives is a new start-up with a business model focused on the development and deployment of 50-gram femtosatellites in LEO.,Active,1251747,,,,,,Private,,,,,,10-Jan,,,,
OrbitBeyond,2018,"Aerospace, Space Travel","Edison, New Jersey, United States",8817,OrbitBeyond is an American lunar transportation startup and a core infrastructure provider for all things beyond earth-orbit.,Active,1499948,,,,,,Private,,,,,,11-50,,,,
Tatra Solutions,2018,"Aerospace, Industrial Manufacturing, Manufacturing, Space Travel","Apex, North Carolina, United States",27502,"Tatra Solutions is an IT company that provides technical support, logistics, and aviation services.",Active,2071811,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Wisconsin Rocket Labs,2018,"Aerospace, Industrial Engineering, Manufacturing","Madison, Wisconsin, United States",53703,"Wisconsin Rocket Labs is an aerospace engineering company that designs, manufactures, and tests experimental rocket engines.",Active,2282057,,,,,,Private,,,,,$1M to $10M,11-50,,,,
Angle42,2018,"Blockchain, Consulting, Cryptocurrency, Financial Services, Information Technology, Virtual Reality","San Francisco, California, United States",94103,Angle42 provides strategic communications advice and support to businesses in the blockchain space.,Active,2424082,,,,,,Private,,,,,,10-Jan,,,,
Floorspace,2018,"Information Technology, Internet, Software, Web Design, Web Development, Web Hosting","Salt Lake City, Utah, United States",84101,Vacation rental website builder.,Active,2468083,,,,,,Private,,,,,,10-Jan,,,,
Exolith Lab,2018,"Industrial, Manufacturing","Orlando, Florida, United States",32801,"Exolith Lab enables space development and growth by providing Lunar, Martin, and asteroid regolith simulants to researchers and educators.",Active,2505758,,,,,,Private,,,,,$1M to $10M,11-50,,,,
EverTEK Solutions,2018,"Consulting, Information Services, Information Technology, Software, Warehousing","Bentonville, Arkansas, United States",72712,EverTEK Solutions is a software developer specializing in automated technology for management teams and retailers.,Active,2740406,M&A,,,Engine,,Private,,,,,,10-Jan,,,,
Destiny Space Systems,2018,"Aerospace, Space Travel","Boston, Massachusetts, United States",2115,Space exploration company. Landing on Mars in 2021,Active,3456036,M&A,,,Lunar Outpost,,Private,,,,,,10-Jan,,,,
Stoke Space,2019,"Aerospace, Product Design, Space Travel","Kent, Washington, United States",98030,Stoke Space is a developer of reusable rockets that provide access to and from any orbit to the satellite industry.,Active,7807,Early Stage Venture,2023-10-05,Series B,,,Private,,,,Growing,$10M to $50M,101-250,10,176199949,"University of Michigan, Y Combinator, National Science Foundation, Liquid 2 Ventures, NFX",32
Raptor Scientific,2019,"Aerospace, Manufacturing, Test and Measurement","Berlin, Connecticut, United States",6037,Raptor Scientific is a provider of mission-critical testing and measurement solutions.,Active,17063,M&A,2020-11-06,Private Equity,TransDigm,"$655,000,000",Private,,,,Growing,,251-500,2,60000000,"L Squared Capital Partners, Graycliff Partners",2
Insite AI,2019,"Artificial Intelligence (AI), Consumer Goods, Retail, SaaS","Bentonville, Arkansas, United States",72712,"Premier strategic partner to the world's largest Consumer Goods companies for sales, category, and revenue management.",Active,29971,Early Stage Venture,2022-10-11,Series A,,,Private,,,,Growing,,51-100,3,19000000,"M12 - Microsoft's Venture Fund, Brisbane Angels, EVP, AfterWork Ventures, Melbourne Angels",9
Cambium,2019,"Advanced Materials, Aerospace, Law Enforcement, National Security, Renewable Energy","Mojave, California, United States",93501,"Cambium develops biomaterials for applications across defense, space, aerospace, and renewable energy.",Active,47841,Early Stage Venture,2023-12-05,Series A,,,Private,,,,,,11-50,3,27012877,"Ginkgo Bioworks, Gaingels, 8VC, Susa Ventures, Jackson Moses",11
nFlux AI,2019,"Artificial Intelligence (AI), Computer Vision, Industrial, Manufacturing, Quality Assurance, Space Travel, Training","Los Angeles, California, United States",90001,Amazon funded startup that's bringing NASA technology to industries on Earth!,Active,50947,Early Stage Venture,2023-07-06,Non-equity Assistance,,,Private,,,,Growing,$1M to $10M,11-50,6,10620000,"Techstars, Amazon, Plug and Play, Peachscore, K Fund",10
Glacier,2019,"Artificial Intelligence (AI), Recycling, Robotics, Waste Management","San Francisco, California, United States",94103,Glacier is an innovation leader in AI-powered robotic waste technology.,Active,70806,Seed,2023-10-18,Convertible Note,,,Private,,,,,,11-50,3,4500000,"Elemental Impact, New Enterprise Associates, Climate Pledge Fund, Overture VC, AlleyCorp",12
Orbite,2019,"Aerospace, Leisure, Space Travel, Training","Seattle, Washington, United States",98101,Orbite is a space training company that offers space travel and luxury hospitality.,Active,97048,Seed,2023-12-20,Seed,,,Private,,,,Growing,,11-50,1,2724998,,
G-Space,2019,"Artificial Intelligence (AI), SaaS, Software","Sunnyvale, California, United States",94086,G-SPACE is a software platform that provides the next generation of materials viaa terrestrial.,Active,110892,,2021-04-26,Venture - Series Unknown,,,Private,,,,,Less than $1M,11-50,2,245000,"National Science Foundation, Seraphim Space",2
Sober Space,2019,"Apps, Information Technology, Travel","Clifton Park, New York, United States",12065,Sober Space is a go-sober sober travel concierge which offers a curated list of sober and sober-friendly spots on the app.,Active,118942,Seed,2022-11-04,Pre-Seed,,,Private,,,,,,10-Jan,1,250000,Newchip Accelerator,1
Tensil,2019,"Information Technology, Internet, Video","San Francisco, California, United States",94103,Tensil develops a collaborative creation space intended to create videos together.,Active,120447,Seed,2020-05-01,Seed,,,Private,,,,,Less than $1M,10-Jan,1,2950000,Night Ventures,1
Akuario,2019,"Artificial Intelligence (AI), Augmented Reality, EdTech, Virtual Reality","Pasadena, California, United States",91101,"Akuario uses state-of-the-art technology to create pop-up attractions that tell the stories of the oceans, communities, and conservation.",Active,160318,,2023-04-11,Debt Financing,,,Private,,,,,,10-Jan,1,90000,,
Advanced Shooting Analytics,2019,"Aerospace, Analytics","Boulder, Colorado, United States",80302,Advanced Shooting Analytics utilizes Aerospace grade analysis techniques to improve performance within the Precision Rifle space.,Active,160482,Seed,2019-05-31,Seed,,,Private,,,,,Less than $1M,10-Jan,1,137200,,
NewSpace Networks,2019,"Aerospace, Military, Software","San Jose, California, United States",95112,NewSpace Networks develops software products for space-based systems.,Active,189808,M&A,2020-10-19,Pre-Seed,SEMPRE,,Private,,,,,$1M to $10M,10-Jan,2,3131,,
Space ISAC,2019,"Aerospace, Information Technology","Colorado Springs, Colorado, United States",80901,"Space ISAC collaborates across the global space to enhance the ability to prepare and respond to vulnerabilities, incidents, and threats.",Active,192305,,,,,,Private,,,,Growing,,10-Jan,,,,
Pythom Space,2019,"Aerospace, Manufacturing","Bishop, California, United States",93514,Pythom Space is an aerospace company that develops space transportation systems.,Active,574925,,,,,,Private,,,,,,11-50,,,,
Light Steering Technologies,2019,"Aerospace, Laser, Telecommunications","Manchester, New Hampshire, United States",3101,"Light Steering Technologies develops high-speed beam steering systems for metrology, laser communications, and space imaging.",Active,737925,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
AstronetX,2019,"Database, Information Technology, Space Travel","Boston, Massachusetts, United States",2115,AstronetX makes space-based observational and database services available to the global space science community and defense customers.,Active,988279,,,,,,Private,,,,,,10-Jan,,,,
AQST USA,2019,"Information Technology, Renewable Energy, Robotics","Canton, Mississippi, United States",39046,"AQST USA is a Service Disabled Veteran space, science, and technology firm.",Active,1519610,M&A,,,Global Warming Solutions,,Private,,,,,,11-50,,,,
SPACE IN 60,2019,"Aerospace, Podcast, Space Travel","Orlando, Florida, United States",32801,SPACE IN 60 provides podcast about news updates and insight from the commercial space sector.,Active,1730450,,,,,,Private,,,,,,10-Jan,,,,
Lagoon Digital,2019,"Content, Digital Marketing, Email Marketing, Information Technology, Lead Generation, Marketing, Marketing Automation, Web Design, Web Development","Melbourne, Florida, United States",32935,"Lagoon Digital offers inbound marketing, web design, web development, marketing automation, content creation, and email marketing solutions.",Active,1851306,,,,,,Private,,,,,$1M to $10M,10-Jan,,,,
Sheau,2019,"Event Management, Events, Information Technology","New York, New York, United States",10001,Online platform connecting brick-and-mortar businesses with like-minded brands and experts for events,Closed,2228705,,,,,,Private,,,,,,10-Jan,,,,
Whytespace,2019,"Information Technology, SaaS, Software","Chicago, Illinois, United States",60601,Whytespace develops SaaS solutions targeting overlooked industrial challenges.,Active,2854828,,,,,,Private,,,,,,10-Jan,,,,
Redwire,2020,"Manufacturing, Space Travel, Telecommunications","Jacksonville, Florida, United States",32201,"Redwire focuses on space commercialization, digitally engineered spacecraft, on-orbit service, assembly, and manufacturing.",Active,3984,IPO,2021-09-03,Post-IPO Equity,,,Public,620000000,2021-09-03,,,$100M to $500M,501-1000,1,100000000,"Senvest Management, Crescent Park Management",24
Interlune,2020,"Aerospace, Information Technology, Space Travel","Estes Park, Colorado, United States",80517,Interlune is a space material extraction company that extracts and commercializes space resources for Earth.,Active,5051,Seed,2024-10-03,Grant,,,Private,,,,Growing,,11-50,3,17715000,"US Department of Energy, Gaingels, Liquid 2 Ventures, Seven Seven Six, Shasta Ventures",2
Varda,2020,"Aerospace, Manufacturing, Product Design","El Segundo, California, United States",90245,Varda is a space manufacturing startup that creates products in microgravity and retrieves them for terrestrial use.,Active,6722,Early Stage Venture,2024-04-05,Series B,,,Private,,,,Growing,$1M to $10M,101-250,5,141025000,"Khosla Ventures, General Catalyst, Founders Fund, Lux Capital, Air Force Research Laboratory",6
BlueHalo,2020,"Intelligent Systems, Military, Satellite Communication","Arlington, Virginia, United States",22201,BlueHalo is the transformation of modern warfare in defense and space.,Active,6935,Private Equity,2024-03-18,Private Equity,,,Private,,,,,$1B to $10B,1001-5000,1,723160139,,
Firehawk Aerospace,2020,"3D Printing, Aerospace, Manufacturing, National Security, Space Travel","Dallas, Texas, United States",75201,Firehawk Aerospace designs and manufactures rocket motors powered by 3D printed propellant.,Active,19758,,2023-12-12,Venture - Series Unknown,,,Private,,,,Growing,$1M to $10M,11-50,4,28250000,"Capital Factory, Jackson Moses, Draper Associates, Stellar Ventures, Decisive Point",10
junolive,2020,"Analytics, Communities, Events, Information Technology, SaaS, Software","San Diego, California, United States",92101,junolive is a community-building software company.,Active,31174,M&A,2022-05-26,Series A,GrowthZone,,Private,,,,,$1M to $10M,11-50,2,13500000,"Insight Partners, Jerry Murdock, Walter Scott",3
In Orbit Aerospace,2020,"Aerospace, Logistics, Manufacturing, Transportation","Torrance, California, United States",90501,In Orbit Aerospace is building the infrastructure to support mass manufacturing in space.,Active,69811,Seed,2023-04-18,Non-equity Assistance,,,Private,,,,,,10-Jan,3,2000000,"Asymmetry Ventures, Gaingels, Trajectory Ventures, Vishal Rao, AWS Space Accelerator",4
